id,user_id,subscription_id,status,joined_at,left_at,reason,joined_at_clean,left_at_clean
563,1485,231,1,2024-12-06 21:23:01,,,2024-12-06 21:23:01,
1042,690,399,2,2024-09-23 02:25:46,2025-03-31 22:56:44,fraud,2024-09-23 02:25:46,2025-03-31 22:56:44
72,56,31,1,2025-02-15 18:19:15,,,2025-02-15 18:19:15,
414,590,168,1,2024-08-06 15:33:32,,,2024-08-06 15:33:32,
413,20,168,1,2024-05-19 10:34:05,,,2024-05-19 10:34:05,
848,1282,335,1,2022-11-09 09:23:58,,,2022-11-09 09:23:58,
822,407,324,1,2025-05-21 08:18:59,,,2025-05-21 08:18:59,
702,513,275,3,2024-03-06 01:54:28,2025-04-07 12:17:17,inactive,2024-03-06 01:54:28,2025-04-07 12:17:17
309,372,125,1,2025-04-20 16:23:38,,,2025-04-20 16:23:38,
605,1990,244,1,2022-07-08 02:04:36,,,2022-07-08 02:04:36,
49,710,20,1,2020-12-03 04:24:03,,,2020-12-03 04:24:03,
45,999,20,1,2020-06-17 10:38:58,,,2020-06-17 10:38:58,
134,1294,56,0,2025-02-20 11:39:30,,,2025-02-20 11:39:30,
968,79,379,5,2024-10-09 00:25:02,,,2024-10-09 00:25:02,
1036,720,398,1,2021-09-03 03:06:10,,,2021-09-03 03:06:10,
829,1071,327,4,2024-06-12 19:20:53,,,2024-06-12 19:20:53,
105,1203,48,3,2023-11-29 23:11:18,2024-07-24 12:43:02,owner_request,2023-11-29 23:11:18,2024-07-24 12:43:02
766,1164,300,2,2023-12-16 17:43:36,2024-09-29 18:56:16,owner_request,2023-12-16 17:43:36,2024-09-29 18:56:16
486,1258,199,2,2021-05-06 04:23:19,2022-12-20 00:06:56,,2021-05-06 04:23:19,2022-12-20 00:06:56
795,510,315,7,2024-11-05 08:28:01,2025-02-15 16:26:00,inactive,2024-11-05 08:28:01,2025-02-15 16:26:00
169,390,67,3,2023-05-30 15:51:02,2025-01-31 02:32:10,owner_request,2023-05-30 15:51:02,2025-01-31 02:32:10
295,1262,118,0,2025-04-12 05:21:26,,,2025-04-12 05:21:26,
666,962,262,2,2025-04-14 08:33:19,,owner_request,2025-04-14 08:33:19,
818,906,322,1,2024-03-21 12:30:53,,,2024-03-21 12:30:53,
834,233,329,1,2022-07-24 02:48:44,,,2022-07-24 02:48:44,
1015,1817,393,4,2023-07-11 04:22:58,,,2023-07-11 04:22:58,
1019,1073,394,1,2024-11-03 07:02:32,,,2024-11-03 07:02:32,
426,1446,172,1,2024-06-18 12:58:33,,,2024-06-18 12:58:33,
476,458,193,1,2024-07-08 22:59:25,,,2024-07-08 22:59:25,
497,1985,203,1,2021-04-06 23:46:54,,,2021-04-06 23:46:54,
324,1589,132,1,2023-09-01 03:14:55,,,2023-09-01 03:14:55,
771,808,303,1,2024-02-01 11:52:21,,,2024-02-01 11:52:21,
842,945,333,3,2024-12-16 20:42:04,2025-02-10 02:52:32,,2024-12-16 20:42:04,2025-02-10 02:52:32
115,64,50,3,2023-03-13 13:03:16,2024-03-27 14:17:40,,2023-03-13 13:03:16,2024-03-27 14:17:40
725,921,283,6,2025-02-19 17:36:15,2025-04-07 14:00:55,payment_failed,2025-02-19 17:36:15,2025-04-07 14:00:55
21,161,11,3,2024-07-31 17:09:34,2024-11-26 22:42:45,owner_request,2024-07-31 17:09:34,2024-11-26 22:42:45
313,1649,126,1,2024-11-01 20:22:09,,,2024-11-01 20:22:09,
449,1351,183,2,2025-03-06 23:00:30,2025-04-10 18:22:20,,2025-03-06 23:00:30,2025-04-10 18:22:20
785,1573,311,1,2023-03-15 15:06:57,,,2023-03-15 15:06:57,
349,574,145,1,2022-08-21 04:10:39,,,2022-08-21 04:10:39,
442,1046,178,6,2022-06-04 04:05:21,2024-08-15 02:29:34,voluntary,2022-06-04 04:05:21,2024-08-15 02:29:34
318,1980,128,3,2024-01-11 23:38:58,2024-05-03 03:10:16,voluntary,2024-01-11 23:38:58,2024-05-03 03:10:16
467,716,191,5,2025-05-28 01:17:31,,,2025-05-28 01:17:31,
239,259,97,2,2024-05-26 11:52:51,2025-04-05 05:23:13,inactive,2024-05-26 11:52:51,2025-04-05 05:23:13
775,1400,305,1,2023-10-28 17:35:22,,,2023-10-28 17:35:22,
765,884,300,2,2024-03-02 21:16:25,2025-05-28 10:43:19,,2024-03-02 21:16:25,2025-05-28 10:43:19
337,1054,140,1,2023-10-05 16:48:34,,,2023-10-05 16:48:34,
972,1119,380,1,2025-05-01 19:34:03,,,2025-05-01 19:34:03,
704,1364,275,1,2022-06-21 11:36:07,,,2022-06-21 11:36:07,
801,1989,316,7,2021-02-26 12:56:52,2024-05-19 09:51:46,,2021-02-26 12:56:52,2024-05-19 09:51:46
1048,1,400,1,2024-08-19 08:35:43,,,2024-08-19 08:35:43,
739,601,289,4,2022-10-20 17:48:03,,,2022-10-20 17:48:03,
700,499,272,1,2023-08-21 08:01:28,,,2023-08-21 08:01:28,
637,1424,255,7,2024-11-25 19:36:44,2024-12-03 22:53:16,payment_failed,2024-11-25 19:36:44,2024-12-03 22:53:16
676,1377,265,1,2024-07-28 11:30:04,,,2024-07-28 11:30:04,
92,864,42,5,2021-10-20 17:12:12,,,2021-10-20 17:12:12,
630,447,250,2,2023-11-28 06:04:55,2024-03-22 16:24:52,payment_failed,2023-11-28 06:04:55,2024-03-22 16:24:52
458,1370,186,1,2023-06-05 13:30:06,,,2023-06-05 13:30:06,
875,1201,344,2,2023-06-22 21:01:33,2024-09-13 08:26:41,owner_request,2023-06-22 21:01:33,2024-09-13 08:26:41
919,1629,358,4,2023-02-14 11:53:30,,,2023-02-14 11:53:30,
153,771,63,2,2024-07-12 12:00:38,2025-05-15 03:28:51,voluntary,2024-07-12 12:00:38,2025-05-15 03:28:51
302,554,120,7,2024-09-10 04:35:26,2024-12-08 16:51:23,,2024-09-10 04:35:26,2024-12-08 16:51:23
534,1422,216,0,2025-04-10 19:36:24,,,2025-04-10 19:36:24,
575,1562,234,2,2023-05-01 23:57:38,2023-08-25 23:58:11,payment_failed,2023-05-01 23:57:38,2023-08-25 23:58:11
229,1035,92,1,2024-11-24 08:49:21,,,2024-11-24 08:49:21,
644,1375,257,6,2021-04-20 00:12:58,2022-11-17 07:17:33,owner_request,2021-04-20 00:12:58,2022-11-17 07:17:33
920,199,358,1,2024-08-21 09:11:23,,,2024-08-21 09:11:23,
16,576,24,1,2024-01-19 00:52:45,,,2024-01-19 00:52:45,
321,340,129,6,2025-02-04 23:18:32,2025-03-27 15:49:20,,2025-02-04 23:18:32,2025-03-27 15:49:20
790,1490,314,1,2025-01-21 03:58:06,,,2025-01-21 03:58:06,
250,1818,100,1,2022-06-16 05:17:56,,,2022-06-16 05:17:56,
797,1441,316,1,2022-03-14 04:38:19,,,2022-03-14 04:38:19,
839,1520,332,3,2025-04-19 15:08:53,2025-05-30 12:48:45,,2025-04-19 15:08:53,2025-05-30 12:48:45
240,1669,97,5,2024-07-27 17:18:04,,,2024-07-27 17:18:04,
196,157,78,3,2023-12-03 15:28:50,2023-12-10 08:57:52,payment_failed,2023-12-03 15:28:50,2023-12-10 08:57:52
952,85,371,1,2024-01-01 04:36:09,,,2024-01-01 04:36:09,
734,1951,287,1,2024-08-04 06:33:39,,,2024-08-04 06:33:39,
174,69,71,1,2023-12-25 19:24:42,,,2023-12-25 19:24:42,
509,924,206,1,2023-12-18 08:26:58,,,2023-12-18 08:26:58,
1026,1481,396,1,2024-12-23 17:44:22,,,2024-12-23 17:44:22,
1,1151,1,3,2024-01-05 03:44:58,2024-10-05 11:23:04,,2024-01-05 03:44:58,2024-10-05 11:23:04
296,73,118,2,2024-12-18 19:36:30,,,2024-12-18 19:36:30,
80,1554,185,2,2024-08-22 12:01:58,2024-10-23 18:15:01,fraud,2024-08-22 12:01:58,2024-10-23 18:15:01
607,1087,244,2,2024-05-02 09:48:17,2024-06-01 16:22:04,,2024-05-02 09:48:17,2024-06-01 16:22:04
1003,670,389,1,2021-10-12 03:57:56,,,2021-10-12 03:57:56,
678,1907,265,1,2024-08-23 13:02:36,2025-03-11 07:56:18,,2024-08-23 13:02:36,2025-03-11 07:56:18
611,1886,246,1,2024-07-10 03:47:51,,,2024-07-10 03:47:51,
157,173,64,2,2025-02-27 03:40:32,2025-03-19 09:16:26,voluntary,2025-02-27 03:40:32,2025-03-19 09:16:26
52,1616,23,2,2024-12-03 13:24:27,2024-12-22 06:00:12,voluntary,2024-12-03 13:24:27,2024-12-22 06:00:12
896,456,352,2,2024-10-12 20:51:22,2024-12-12 23:23:22,fraud,2024-10-12 20:51:22,2024-12-12 23:23:22
459,580,186,2,2021-02-08 11:57:03,2023-01-03 04:37:32,,2021-02-08 11:57:03,2023-01-03 04:37:32
179,1510,72,1,2022-12-29 23:01:31,,,2022-12-29 23:01:31,
419,1299,170,2,2021-03-24 05:28:27,2021-10-05 18:23:11,inactive,2021-03-24 05:28:27,2021-10-05 18:23:11
1024,1802,395,0,2024-12-13 15:34:47,,,2024-12-13 15:34:47,
703,456,275,1,2022-02-05 17:06:23,,,2022-02-05 17:06:23,
213,1224,84,1,2025-05-08 18:30:07,,,2025-05-08 18:30:07,
590,1651,238,2,2022-11-25 22:48:57,2024-09-01 17:19:20,voluntary,2022-11-25 22:48:57,2024-09-01 17:19:20
195,1018,78,1,2023-10-23 14:36:02,,,2023-10-23 14:36:02,
934,1204,364,1,2025-04-30 11:54:01,,,2025-04-30 11:54:01,
779,1171,307,2,2024-02-19 06:04:44,2024-04-06 17:38:10,,2024-02-19 06:04:44,2024-04-06 17:38:10
136,830,57,0,2022-10-07 01:39:52,,,2022-10-07 01:39:52,
833,1239,329,1,2024-09-13 23:33:44,,,2024-09-13 23:33:44,
159,100,64,1,2022-08-25 04:31:51,,,2022-08-25 04:31:51,
756,1737,295,7,2024-07-23 22:11:52,2024-09-25 05:47:32,owner_request,2024-07-23 22:11:52,2024-09-25 05:47:32
65,493,28,1,2023-08-25 18:26:23,,,2023-08-25 18:26:23,
118,17,50,5,2025-02-17 21:36:33,,,2025-02-17 21:36:33,
816,1933,322,1,2025-03-15 06:02:10,,,2025-03-15 06:02:10,
282,538,114,2,2025-05-29 01:07:49,2025-05-29 13:43:26,owner_request,2025-05-29 01:07:49,2025-05-29 13:43:26
470,580,191,3,2025-04-20 04:09:48,2025-04-20 18:51:40,,2025-04-20 04:09:48,2025-04-20 18:51:40
508,146,206,5,2021-01-06 11:30:03,,,2021-01-06 11:30:03,
735,636,287,2,2022-09-24 02:20:35,2023-05-24 22:20:29,,2022-09-24 02:20:35,2023-05-24 22:20:29
412,601,168,2,2025-03-30 01:53:45,2025-05-09 17:40:52,voluntary,2025-03-30 01:53:45,2025-05-09 17:40:52
90,97,41,4,2024-11-07 02:40:41,,,2024-11-07 02:40:41,
659,586,260,2,2023-07-10 06:44:08,2024-09-02 20:32:13,inactive,2023-07-10 06:44:08,2024-09-02 20:32:13
199,1270,79,5,2021-06-17 17:22:40,,,2021-06-17 17:22:40,
564,1631,231,1,2024-12-03 19:52:20,,,2024-12-03 19:52:20,
803,814,317,5,2024-09-22 03:10:07,,,2024-09-22 03:10:07,
510,1896,207,1,2024-04-21 08:01:50,,,2024-04-21 08:01:50,
536,271,216,3,2025-04-21 12:37:50,2025-04-26 08:02:22,,2025-04-21 12:37:50,2025-04-26 08:02:22
805,19,317,2,2024-04-04 22:10:12,2024-05-25 22:55:56,owner_request,2024-04-04 22:10:12,2024-05-25 22:55:56
242,1077,98,3,2021-11-07 13:07:49,2021-11-10 01:10:14,,2021-11-07 13:07:49,2021-11-10 01:10:14
929,1212,362,1,2024-04-26 13:21:28,,,2024-04-26 13:21:28,
310,542,125,4,2025-04-28 02:12:08,,,2025-04-28 02:12:08,
373,704,154,2,2024-03-16 04:20:01,2024-04-22 21:33:37,voluntary,2024-03-16 04:20:01,2024-04-22 21:33:37
345,55,141,0,2022-03-31 06:59:52,,,2022-03-31 06:59:52,
7,654,4,1,2023-12-12 05:35:32,,,2023-12-12 05:35:32,
588,1189,238,1,2025-03-09 19:29:15,,,2025-03-09 19:29:15,
808,395,319,1,2022-04-15 20:34:53,,,2022-04-15 20:34:53,
347,1210,142,1,2023-04-25 18:54:18,,,2023-04-25 18:54:18,
124,344,53,1,2024-12-29 08:26:19,,,2024-12-29 08:26:19,
969,1160,379,0,2023-12-04 05:43:38,,,2023-12-04 05:43:38,
144,1491,60,0,2025-02-17 19:54:57,,,2025-02-17 19:54:57,
923,1984,359,2,2024-05-04 10:23:16,2024-06-17 16:11:15,,2024-05-04 10:23:16,2024-06-17 16:11:15
330,1248,136,1,2024-04-08 19:46:07,,,2024-04-08 19:46:07,
38,174,18,3,2024-07-30 00:50:00,2024-09-28 22:09:29,,2024-07-30 00:50:00,2024-09-28 22:09:29
434,371,176,1,2023-03-11 17:57:21,,,2023-03-11 17:57:21,
868,1081,343,4,2024-11-01 20:51:26,,,2024-11-01 20:51:26,
135,1967,56,1,2024-03-12 20:52:31,,,2024-03-12 20:52:31,
410,1832,167,5,2024-12-12 02:33:51,,,2024-12-12 02:33:51,
774,1497,305,1,2025-02-13 11:03:18,,,2025-02-13 11:03:18,
755,542,295,3,2025-04-12 07:00:40,2025-05-30 18:50:22,,2025-04-12 07:00:40,2025-05-30 18:50:22
668,177,263,6,2022-02-12 11:29:57,2024-04-20 20:54:37,inactive,2022-02-12 11:29:57,2024-04-20 20:54:37
996,93,386,1,2023-07-10 15:28:34,,,2023-07-10 15:28:34,
183,964,73,1,2023-11-27 01:20:18,,,2023-11-27 01:20:18,
450,159,183,1,2025-02-19 13:15:20,,,2025-02-19 13:15:20,
895,630,352,3,2024-02-05 14:01:39,2024-05-27 11:51:47,voluntary,2024-02-05 14:01:39,2024-05-27 11:51:47
522,1677,211,3,2024-03-02 06:02:44,2024-12-07 00:31:53,payment_failed,2024-03-02 06:02:44,2024-12-07 00:31:53
140,936,58,1,2024-05-17 07:35:17,,,2024-05-17 07:35:17,
149,703,61,0,2024-01-22 02:01:12,,,2024-01-22 02:01:12,
95,1032,44,1,2022-03-11 09:58:00,,,2022-03-11 09:58:00,
456,1221,185,7,2023-07-22 13:12:49,2024-11-21 02:35:08,voluntary,2023-07-22 13:12:49,2024-11-21 02:35:08
375,239,155,4,2025-05-09 06:07:01,,,2025-05-09 06:07:01,
873,1664,344,1,2023-10-07 20:35:38,,,2023-10-07 20:35:38,
51,1403,23,3,2025-01-27 08:31:16,2025-03-26 03:25:32,,2025-01-27 08:31:16,2025-03-26 03:25:32
685,592,268,2,2025-03-25 12:40:15,2025-05-31 03:20:50,,2025-03-25 12:40:15,2025-05-31 03:20:50
861,322,341,4,2022-09-03 02:35:49,,,2022-09-03 02:35:49,
392,1040,162,1,2024-08-20 15:26:09,,,2024-08-20 15:26:09,
692,751,269,6,2024-12-08 02:46:01,2025-01-13 13:17:56,payment_failed,2024-12-08 02:46:01,2025-01-13 13:17:56
1058,1087,485,1,2024-12-24 02:56:40,,,2024-12-24 02:56:40,
988,308,384,2,2024-07-05 08:38:01,2025-04-15 16:46:30,payment_failed,2024-07-05 08:38:01,2025-04-15 16:46:30
322,987,132,1,2024-12-29 20:45:10,,,2024-12-29 20:45:10,
234,1489,94,2,2024-12-04 12:20:31,2024-12-06 06:51:04,owner_request,2024-12-04 12:20:31,2024-12-06 06:51:04
84,1983,38,1,2020-09-03 14:52:58,,,2020-09-03 14:52:58,
155,790,63,1,2024-04-21 22:48:54,,,2024-04-21 22:48:54,
549,239,223,2,2024-11-23 06:41:31,2025-03-21 06:05:00,payment_failed,2024-11-23 06:41:31,2025-03-21 06:05:00
1029,371,396,1,2025-02-27 14:23:49,,,2025-02-27 14:23:49,
176,1341,71,1,2025-01-14 08:22:40,,,2025-01-14 08:22:40,
97,447,45,2,2023-12-31 13:41:42,2024-04-22 14:00:36,owner_request,2023-12-31 13:41:42,2024-04-22 14:00:36
841,1819,333,5,2025-04-03 10:22:19,,,2025-04-03 10:22:19,
545,1287,221,5,2023-12-01 08:44:23,,,2023-12-01 08:44:23,
268,658,108,2,2024-02-25 20:25:46,2024-03-12 01:59:23,,2024-02-25 20:25:46,2024-03-12 01:59:23
851,850,336,1,2025-03-05 05:30:57,,,2025-03-05 05:30:57,
380,1848,156,1,2025-05-14 04:36:32,,,2025-05-14 04:36:32,
372,897,154,1,2024-11-03 04:25:09,,,2024-11-03 04:25:09,
98,1657,45,1,2022-08-03 17:10:46,,,2022-08-03 17:10:46,
1027,1761,396,1,2024-05-15 09:56:24,2025-05-25 22:50:19,,2024-05-15 09:56:24,2025-05-25 22:50:19
882,1143,347,2,2023-08-21 14:43:52,,inactive,2023-08-21 14:43:52,
594,1743,239,2,2023-08-29 04:15:45,2024-07-08 10:24:07,payment_failed,2023-08-29 04:15:45,2024-07-08 10:24:07
154,1325,63,2,2024-07-02 03:28:36,2025-04-22 19:27:16,,2024-07-02 03:28:36,2025-04-22 19:27:16
926,1889,361,2,2024-10-19 17:03:54,2025-01-19 12:22:28,fraud,2024-10-19 17:03:54,2025-01-19 12:22:28
76,1597,33,3,2024-07-02 05:25:23,2024-09-05 08:11:39,fraud,2024-07-02 05:25:23,2024-09-05 08:11:39
233,263,94,5,2024-11-12 23:15:12,,,2024-11-12 23:15:12,
