id,reporter_id,target_id,subscription_id,type,status,created_at,resolved_at,resolution,type_clean,self_complaint,is_dupe_complaint
1012,1574,1166,342,access_denied,open,2025-05-11 21:55:02,,,access_denied,False,False
657,936,1264,58,owner_unresponsive,resolved,2025-05-11 15:33:39,2025-05-04 15:33:39,subscriber_replaced,owner_unresponsive,False,False
887,1155,1203,256,fraud_suspicion,closed,2025-05-10 05:15:49,2025-05-10 07:29:35,subscriber_replaced,fraud_suspicion,False,False
595,1323,380,351,access_denied,resolved,2025-05-08 19:06:41,2025-04-22 19:06:41,subscriber_replaced,access_denied,False,False
513,1336,60,248,fraud_suspicion,open,2025-05-08 06:56:26,,,fraud_suspicion,False,False
128,538,813,380,wrong_credentials,resolved,2025-05-07 18:00:04,2025-05-26 07:20:36,account_banned,wrong_credentials,False,False
19,716,429,114,access_denied,resolved,2025-05-06 06:23:38,2025-05-22 03:51:34,,access_denied,False,False
860,228,1692,131,access_denied,resolved,2025-05-05 23:42:19,2025-05-21 16:50:29,account_banned,access_denied,False,False
1045,125,1101,292,other,open,2025-05-05 06:55:57,,,other,False,False
553,927,927,195,accès refusé,resolved,2025-05-04 05:31:11,2025-05-23 05:32:32,account_banned,access_denied,True,False
684,1456,105,41,access_denied,escalated,2025-05-01 15:42:24,,,access_denied,False,False
811,1131,885,240,fraud_suspicion,escalated,2025-04-30 18:18:42,,,fraud_suspicion,False,False
764,1256,1805,136,wrong_credentials,open,2025-04-30 07:49:47,,,wrong_credentials,False,False
305,77,481,207,billing_issue,closed,2025-04-26 11:32:45,2025-05-23 13:13:07,refunded,billing_issue,False,False
1159,1989,760,316,fraud_suspicion,open,2025-04-25 15:13:16,,,fraud_suspicion,False,False
10,1480,266,163,owner_unresponsive,escalated,2025-04-24 17:49:55,,,owner_unresponsive,False,False
186,1609,860,243,subscription_inactive,in_progress,2025-04-22 19:48:10,,,subscription_inactive,False,False
202,1133,639,17,wrong_credentials,resolved,2025-04-22 18:35:44,2025-05-06 19:44:35,owner_warned,wrong_credentials,False,False
1002,1272,667,50,subscription_inactive,in_progress,2025-04-21 01:51:00,,,subscription_inactive,False,False
987,595,1363,294,fraud_suspicion,resolved,2025-04-20 16:54:55,2025-05-26 07:21:36,owner_warned,fraud_suspicion,False,False
1155,1151,1151,1,access_denied,open,2025-04-19 23:31:54,,,access_denied,True,False
1185,1328,682,26,accès refusé,in_progress,2025-04-19 20:28:32,,,access_denied,False,False
751,1556,918,151,subscription_inactive,resolved,2025-04-19 02:01:30,2025-05-19 16:40:21,,subscription_inactive,False,False
804,1928,581,67,other,resolved,2025-04-16 04:32:22,2025-04-26 18:29:56,account_banned,other,False,False
79,1040,1791,162,subscription_inactive,open,2025-04-16 00:47:07,,,subscription_inactive,False,False
359,882,22,4,other,open,2025-04-12 11:27:04,,,other,False,False
44,1758,1539,180,billing_issue,in_progress,2025-04-11 05:06:53,,,billing_issue,False,False
1049,866,204,64,wrong_credentials,closed,2025-04-10 07:06:41,2025-04-03 07:06:41,refunded,wrong_credentials,False,False
944,472,1515,53,access_denied,resolved,2025-04-08 20:55:42,2025-04-13 07:18:05,,access_denied,False,False
1013,188,420,235,wrong_credentials,open,2025-04-07 14:37:21,,,wrong_credentials,False,False
442,1301,323,385,wrong_credentials,open,2025-04-06 12:18:57,,,wrong_credentials,False,False
1175,139,1582,148,access_denied,in_progress,2025-04-06 11:31:33,,,access_denied,False,False
397,1302,594,352,access_denied,resolved,2025-03-27 19:35:05,2025-04-03 19:51:22,owner_warned,access_denied,False,False
682,922,1866,164,owner_unresponsive,closed,2025-03-27 10:57:33,2025-04-03 06:08:51,,owner_unresponsive,False,False
433,976,157,167,fraud_suspicion,open,2025-03-27 07:03:42,,,fraud_suspicion,False,False
948,849,629,324,billing_issue,closed,2025-03-26 14:22:58,2025-04-11 00:02:24,no_action,billing_issue,False,False
532,695,1969,141,subscription_inactive,open,2025-03-25 16:24:48,,,subscription_inactive,False,False
196,308,1154,384,subscription_inactive,escalated,2025-03-22 04:21:02,,,subscription_inactive,False,False
861,225,897,119,subscription_inactive,in_progress,2025-03-20 00:56:19,,,subscription_inactive,False,False
1033,294,1307,303,subscription_inactive,open,2025-03-19 04:13:54,,,subscription_inactive,False,False
934,1160,1923,154,access_denied,resolved,2025-03-17 11:44:18,2025-05-14 05:10:55,owner_warned,access_denied,False,False
1161,1132,274,91,billing_issue,closed,2025-03-15 10:14:26,2025-04-23 18:08:56,no_action,billing_issue,False,False
1041,1972,578,275,other,escalated,2025-03-13 21:29:31,,,other,False,False
1154,1160,183,379,wrong_credentials,resolved,2025-03-10 03:17:58,2025-03-21 22:39:14,refunded,wrong_credentials,False,False
646,1344,545,191,fraud_suspicion,closed,2025-03-09 13:18:12,2025-05-03 01:35:27,subscriber_replaced,fraud_suspicion,False,False
912,499,1585,272,accès refusé,in_progress,2025-03-07 13:20:03,,,access_denied,False,False
423,487,1669,166,other,escalated,2025-03-07 02:43:50,,,other,False,False
984,510,501,315,owner_unresponsive,open,2025-03-06 07:58:30,,,owner_unresponsive,False,False
213,1761,486,396,access_denied,open,2025-03-05 14:46:19,,,access_denied,False,False
349,1256,795,474,fraud_suspicion,resolved,2025-03-04 09:15:13,2025-03-15 01:55:22,,fraud_suspicion,False,False
741,568,966,385,owner_unresponsive,escalated,2025-03-04 07:19:03,,,owner_unresponsive,False,False
472,1,230,400,wrong_credentials,resolved,2025-03-03 15:04:17,2025-05-16 00:34:46,account_banned,wrong_credentials,False,False
663,1073,681,351,access_denied,escalated,2025-03-03 04:44:13,,,access_denied,False,False
929,595,913,326,accès refusé,resolved,2025-03-02 13:27:19,2025-05-25 15:14:34,subscriber_replaced,access_denied,False,False
152,1507,289,50,billing_issue,open,2025-02-28 02:54:01,,,billing_issue,False,False
1145,1917,1733,350,subscription_inactive,closed,2025-02-26 16:57:31,2025-05-20 16:12:55,no_action,subscription_inactive,False,False
124,942,1800,96,other,open,2025-02-25 19:02:09,,,other,False,False
312,1766,1257,56,other,escalated,2025-02-25 15:34:08,,,other,False,False
